ID ÚNICO - RESPONDENTE,MÊS PESQUISA
PRSOL8282,SIM - 05/2024
PRWAG1843,SIM - 05/2024
RSALE1391,SIM - 05/2024
SCMAU1876,SIM - 05/2024
PRRAF9634,SIM - 05/2024
PRDIE9719,SIM - 05/2024
SPMAR3165,SIM - 05/2024
RSMAT0501,SIM - 05/2024
PRMAU2575,SIM - 05/2024
PRLUI3685,SIM - 05/2024
SCAMA7727,SIM - 05/2024
SCEMI2142,SIM - 05/2024
RSLOI6509,SIM - 05/2024
PRMAR0863,SIM - 05/2024
PRELI1756,SIM - 05/2024
PRERI3416,SIM - 05/2024
RSTHI1866,SIM - 05/2024
SCSAN8256,SIM - 05/2024
PRJAC4994,SIM - 05/2024
SCLUA1174,SIM - 05/2024
SCBIA8619,SIM - 05/2024
PRGAB2863,SIM - 05/2024
RSROS3972,SIM - 05/2024
PRSTE2095,SIM - 05/2024
PRMAR3293,SIM - 05/2024
RSCLE4415,SIM - 05/2024
SCAMA1623,SIM - 05/2024
SCJOA3725,SIM - 05/2024
SCFER5705,SIM - 05/2024
RJCRI0824,SIM - 05/2024
SCHEL3551,SIM - 05/2024
SCADR4763,SIM - 05/2024
SCMAR1147,SIM - 05/2024
RJTAI6418,SIM - 05/2024
SCCLE7676,SIM - 05/2024
SPSOL9999,SIM - 05/2024
SPMAR8585,SIM - 05/2024
SPANT1770,SIM - 05/2024
SPISA0624,SIM - 05/2024
SPWES6079,SIM - 05/2024
SCALE6778,SIM - 05/2024
SCJEF2251,SIM - 05/2024
RJCAS0989,SIM - 05/2024
RSDIM1731,SIM - 05/2024
SCMAR3350,SIM - 05/2024
SPLUA1770,SIM - 05/2024
SPDOU5262,SIM - 05/2024
RJUIR4446,SIM - 05/2024
SCDAN2411,SIM - 05/2024
ESNAT7610,SIM - 05/2024
SPROD0948,SIM - 05/2024
SPART2449,SIM - 05/2024
SPVAN4571,SIM - 05/2024
SPOLI7555,SIM - 05/2024
PRCLA1150,SIM - 05/2024
SPSAN9710,SIM - 05/2024
SPTAT9433,SIM - 05/2024
SPJEN4496,SIM - 05/2024
PBGLA3116,SIM - 05/2024
RJNAT4240,SIM - 05/2024
ALPAU8852,SIM - 05/2024
RJDIA9377,SIM - 05/2024
RJVIT1042,SIM - 05/2024
SEFRA6339,SIM - 05/2024
ALWIL2248,SIM - 05/2024
ALSOR2957,SIM - 05/2024
RJDAV0101,SIM - 05/2024
PELIN5089,SIM - 05/2024
SPGER4866,SIM - 05/2024
SPMAR8003,SIM - 05/2024
GOGAB3160,SIM - 05/2024
MGLEO2709,SIM - 05/2024
ALROS6650,SIM - 05/2024
ALGIL1779,SIM - 05/2024
BAJOÃ0409,SIM - 05/2024
RNDAN4750,SIM - 05/2024
MADAN7667,SIM - 05/2024
PITHA1128,SIM - 05/2024
SPPAT3547,SIM - 05/2024
SPWIL0931,SIM - 05/2024
SPORL4375,SIM - 05/2024
MAVIL6783,SIM - 05/2024
SPPRI7725,SIM - 05/2024
MGMAR3504,SIM - 05/2024
PRJUA9967,SIM - 05/2024
SCROG6555,SIM - 05/2024
MALIN8578,SIM - 05/2024
PEMAR7225,SIM - 05/2024
MGAMA4330,SIM - 05/2024
ALHEL1235,SIM - 05/2024
SPJOS9756,SIM - 05/2024
BAERI0265,SIM - 05/2024
SPGAB1565,SIM - 05/2024
PRCLE2727,SIM - 05/2024
PALAI6589,SIM - 05/2024
PRRAF3073,SIM - 05/2024
PRAMA4362,SIM - 05/2024
SCGUE3544,SIM - 05/2024
SCMAU5641,SIM - 05/2024
PABAR3051,SIM - 05/2024
AMPAU9075,SIM - 05/2024
APBEA5690,SIM - 05/2024
PAKET6395,SIM - 05/2024
TOMAR7382,SIM - 05/2024
RSKAR0872,SIM - 05/2024
RJVAN3077,SIM - 05/2024
RJJOS0020,SIM - 05/2024
BAKET2267,SIM - 05/2024
MGSUE1256,SIM - 05/2024
SPRIC2389,SIM - 05/2024
SPBRU3116,SIM - 05/2024
SPJOC6044,SIM - 05/2024
MGJOS5334,SIM - 05/2024
RSMIC0488,SIM - 05/2024
RJANA4712,SIM - 05/2024
RJEDV2921,SIM - 05/2024
PRALE7915,SIM - 05/2024
MGMAI6934,SIM - 05/2024
MGTHA1045,SIM - 05/2024
PRSEB1576,SIM - 05/2024
PRANA8293,SIM - 05/2024
PBFRA5702,SIM - 07/2024
MAEDS0879,SIM - 07/2024
CEAND9065,SIM - 07/2024
GOJOS4290,SIM - 07/2024
GOEVA4999,SIM - 07/2024
MACES4972,SIM - 07/2024
CEALI9025,SIM - 07/2024
PAIVA2914,SIM - 07/2024
CECRI8678,SIM - 07/2024
CEPRE6561,SIM - 07/2024
GOJAQ6489,SIM - 07/2024
CEHEL7595,SIM - 07/2024
MAKAW5832,SIM - 07/2024
GOVIT2064,SIM - 07/2024
RRVAL6612,SIM - 07/2024
MGNAO7989,SIM - 07/2024
GOALE7096,SIM - 07/2024
CENIC4489,SIM - 07/2024
CELID9985,SIM - 07/2024
RODEJ6507,SIM - 07/2024
ALLEO4059,SIM - 07/2024
GODAN6015,SIM - 07/2024
MACAR1255,SIM - 07/2024
CEMOA4992,SIM - 07/2024
CETER8558,SIM - 07/2024
MAMAR0421,SIM - 07/2024
CEBRE9416,SIM - 07/2024
PBSEV3134,SIM - 07/2024
ROCAI0617,SIM - 07/2024
CEROS7524,SIM - 07/2024
MAEDU1208,SIM - 07/2024
GOPOL6344,SIM - 07/2024
PBAIL9445,SIM - 07/2024
ROMAR8692,SIM - 07/2024
CEDAN0952,SIM - 07/2024
SCGEN4985,SIM - 07/2024
RJAND7131,SIM - 07/2024
RJRON9384,SIM - 07/2024
MGMAR3725,SIM - 07/2024
PALEI7575,SIM - 07/2024
RJDEI8163,SIM - 07/2024
RJALE7421,SIM - 07/2024
BASON5869,SIM - 07/2024
RJALB6739,SIM - 07/2024
MGCEZ1006,SIM - 07/2024
RJNOE2579,SIM - 07/2024
PAJEI8374,SIM - 07/2024
MAMAR5861,SIM - 07/2024
ROJOS0871,SIM - 07/2024
APWAN4219,SIM - 07/2024
MGMAR9327,SIM - 07/2024
MGAND5378,SIM - 07/2024
MGJUL3812,SIM - 07/2024
GOKAR8729,SIM - 07/2024
SPPAU1116,SIM - 07/2024
RJVAL9461,SIM - 07/2024
GOLAY8679,SIM - 07/2024
MGMAR0174,SIM - 07/2024
CELUA2724,SIM - 07/2024
CECLA1076,SIM - 07/2024
RJALI9099,SIM - 07/2024
RJLEN0279,SIM - 07/2024
RJJOI4695,SIM - 07/2024
MGGIL8718,SIM - 07/2024
